x,y,real_psi_tilde,imag_psi_tilde,physical_density
5.2500000000000000e+00,-4.5000000000000000e+00,1.9105463087947764e-09,0.0000000000000000e+00,2.5956886741684233e-17
5.6250000000000000e+00,-4.5000000000000000e+00,-4.2885353778457858e-10,0.0000000000000000e+00,1.3078425377447037e-18
-6.0000000000000000e+00,-4.1250000000000000e+00,-7.5407590373700119e-10,0.0000000000000000e+00,4.0435944433548445e-18
-5.6250000000000000e+00,-4.1250000000000000e+00,-8.0284169029140060e-10,0.0000000000000000e+00,4.5835006554307780e-18
-5.2500000000000000e+00,-4.1250000000000000e+00,-1.6096266048113100e-09,0.0000000000000000e+00,1.8424162182516515e-17
-4.8750000000000000e+00,-4.1250000000000000e+00,8.5988580239821704e-09,0.0000000000000000e+00,5.2579811069584043e-16
-4.5000000000000000e+00,-4.1250000000000000e+00,2.0696899842787910e-08,0.0000000000000000e+00,3.0461273820614700e-15
-4.1250000000000000e+00,-4.1250000000000000e+00,8.2621451126424211e-08,0.0000000000000000e+00,4.8542607546567855e-14
-3.7500000000000000e+00,-4.1250000000000000e+00,3.3529018510738680e-07,0.0000000000000000e+00,7.9942761407534729e-13
-3.3750000000000000e+00,-4.1250000000000000e+00,1.1382074785192053e-06,0.0000000000000000e+00,9.2125601006723372e-12
-3.0000000000000000e+00,-4.1250000000000000e+00,3.4435907920366397e-06,0.0000000000000000e+00,8.4325813639107776e-11
-2.6250000000000000e+00,-4.1250000000000000e+00,9.1570394864776631e-06,0.0000000000000000e+00,5.9627642422692334e-10
-2.2500000000000000e+00,-4.1250000000000000e+00,2.1468865900870678e-05,0.0000000000000000e+00,3.2775978884947040e-09
-1.8750000000000000e+00,-4.1250000000000000e+00,4.4170864395292911e-05,0.0000000000000000e+00,1.3874241859038969e-08
-1.5000000000000000e+00,-4.1250000000000000e+00,7.9719964627998925e-05,0.0000000000000000e+00,4.5193050739835729e-08
-1.1250000000000000e+00,-4.1250000000000000e+00,1.2608434397364340e-04,0.0000000000000000e+00,1.1304719498854420e-07
-7.5000000000000000e-01,-4.1250000000000000e+00,1.7480184685188612e-04,0.0000000000000000e+00,2.1728487582457067e-07
-3.7500000000000000e-01,-4.1250000000000000e+00,2.1256844048215230e-04,0.0000000000000000e+00,3.2131798676632407e-07
0.0000000000000000e+00,-4.1250000000000000e+00,2.2686676292161579e-04,0.0000000000000000e+00,3.6599842217623205e-07
3.7500000000000000e-01,-4.1250000000000000e+00,2.1257259439163952e-04,0.0000000000000000e+00,3.2133054496990216e-07
7.5000000000000000e-01,-4.1250000000000000e+00,1.7480565828330557e-04,0.0000000000000000e+00,2.1729435141589187e-07
1.1250000000000000e+00,-4.1250000000000000e+00,1.2608547337562156e-04,0.0000000000000000e+00,1.1304922024074364e-07
1.5000000000000000e+00,-4.1250000000000000e+00,7.9718000504381108e-05,0.0000000000000000e+00,4.5190823853628492e-08
1.8750000000000000e+00,-4.1250000000000000e+00,4.4176685475987006e-05,0.0000000000000000e+00,1.3877898948581556e-08
2.2500000000000000e+00,-4.1250000000000000e+00,2.1470413005899570e-05,0.0000000000000000e+00,3.2780702908010767e-09
2.6250000000000000e+00,-4.1250000000000000e+00,9.1593943254289209e-06,0.0000000000000000e+00,5.9658314246186326e-10
3.0000000000000000e+00,-4.1250000000000000e+00,3.4323983119219109e-06,0.0000000000000000e+00,8.3778546998644511e-11
3.3750000000000000e+00,-4.1250000000000000e+00,1.1390012489154930e-06,0.0000000000000000e+00,9.2254140091097100e-12
3.7500000000000000e+00,-4.1250000000000000e+00,3.3109315405364004e-07,0.0000000000000000e+00,7.7953903403511053e-13
4.1250000000000000e+00,-4.1250000000000000e+00,8.8871237599338823e-08,0.0000000000000000e+00,5.6164244426226732e-14
4.5000000000000000e+00,-4.1250000000000000e+00,1.9239753101744899e-08,0.0000000000000000e+00,2.6323064847367285e-15
4.8750000000000000e+00,-4.1250000000000000e+00,4.8077732044710717e-10,0.0000000000000000e+00,1.6437108043114693e-18
5.2500000000000000e+00,-4.1250000000000000e+00,1.1328280630832439e-09,0.0000000000000000e+00,9.1256847680635312e-18
5.6250000000000000e+00,-4.1250000000000000e+00,2.0272615422074569e-09,0.0000000000000000e+00,2.9225168785872756e-17
-6.0000000000000000e+00,-3.7500000000000000e+00,1.8032952366354088e-09,0.0000000000000000e+00,2.3124435274467238e-17
-5.6250000000000000e+00,-3.7500000000000000e+00,-1.3654774363044971e-09,0.0000000000000000e+00,1.3258870251069879e-17
-5.2500000000000000e+00,-3.7500000000000000e+00,-1.7339318235059699e-09,0.0000000000000000e+00,2.1379694709807915e-17
-4.8750000000000000e+00,-3.7500000000000000e+00,1.7277224012305127e-08,0.0000000000000000e+00,2.1226842280630961e-15
-4.5000000000000000e+00,-3.7500000000000000e+00,7.7235755614957251e-08,0.0000000000000000e+00,4.2420351611828626e-14
-4.1250000000000000e+00,-3.7500000000000000e+00,3.2775186588730444e-07,0.0000000000000000e+00,7.6388469754744600e-13
